fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
07/09/2017 06:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,184.722,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 07:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,302.883,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 08:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,246.831,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 09:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,317.404,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 10:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,371.536,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 11:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,290.822,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 12:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,223.933,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 01:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,202.321,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 02:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,369.919,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 03:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1079.874,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 04:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1722.892,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 05:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,882.574,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 06:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,924.763,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 07:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,635.158,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 08:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,533.754,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 09:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,505.258,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 10:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,429.881,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
07/09/2017 11:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,544.72,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 12:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,634.109,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 01:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,862.81,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 02:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1146.13,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 03:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,999.505,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 04:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,831.054,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 05:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1159.838,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 06:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1822.368,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 07:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,2707.633,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 08:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,2767.253,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 09:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1664.606,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 10:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1093.955,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 11:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,937.531,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 12:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,598.415,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 01:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,430.091,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 02:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,330.574,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 03:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,319.356,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
