fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
03/06/2014 06:00:00 p. m.,EPA Cartagena,Base Naval,Automática,10.413333,-75.549825,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Fija,1,O3,µg/m3,60.7809,"{'latitude': '10.413333', 'longitude': '-75.549825'}"
03/06/2014 07:00:00 p. m.,EPA Cartagena,Base Naval,Automática,10.413333,-75.549825,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Fija,1,O3,µg/m3,60.9816,"{'latitude': '10.413333', 'longitude': '-75.549825'}"
03/06/2014 08:00:00 p. m.,EPA Cartagena,Base Naval,Automática,10.413333,-75.549825,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Fija,1,O3,µg/m3,56.9095,"{'latitude': '10.413333', 'longitude': '-75.549825'}"
03/06/2014 09:00:00 p. m.,EPA Cartagena,Base Naval,Automática,10.413333,-75.549825,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Fija,1,O3,µg/m3,48.1909,"{'latitude': '10.413333', 'longitude': '-75.549825'}"
03/06/2014 10:00:00 p. m.,EPA Cartagena,Base Naval,Automática,10.413333,-75.549825,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Fija,1,O3,µg/m3,46.2832,"{'latitude': '10.413333', 'longitude': '-75.549825'}"
03/06/2014 11:00:00 p. m.,EPA Cartagena,Base Naval,Automática,10.413333,-75.549825,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Fija,1,O3,µg/m3,48.0799,"{'latitude': '10.413333', 'longitude': '-75.549825'}"
04/06/2014 12:00:00 a. m.,EPA Cartagena,Base Naval,Automática,10.413333,-75.549825,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Fija,1,O3,µg/m3,50.3445,"{'latitude': '10.413333', 'longitude': '-75.549825'}"
04/06/2014 01:00:00 a. m.,EPA Cartagena,Base Naval,Automática,10.413333,-75.549825,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Fija,1,O3,µg/m3,49.7937,"{'latitude': '10.413333', 'longitude': '-75.549825'}"
04/06/2014 02:00:00 a. m.,EPA Cartagena,Base Naval,Automática,10.413333,-75.549825,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Fija,1,O3,µg/m3,52.2097,"{'latitude': '10.413333', 'longitude': '-75.549825'}"
04/06/2014 03:00:00 a. m.,EPA Cartagena,Base Naval,Automática,10.413333,-75.549825,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Fija,1,O3,µg/m3,46.7747,"{'latitude': '10.413333', 'longitude': '-75.549825'}"
04/06/2014 04:00:00 a. m.,EPA Cartagena,Base Naval,Automática,10.413333,-75.549825,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Fija,1,O3,µg/m3,45.6902,"{'latitude': '10.413333', 'longitude': '-75.549825'}"
04/06/2014 05:00:00 a. m.,EPA Cartagena,Base Naval,Automática,10.413333,-75.549825,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Fija,1,O3,µg/m3,45.6811,"{'latitude': '10.413333', 'longitude': '-75.549825'}"
