fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
21/01/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,27.09,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
22/01/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,26.89,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
23/01/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,57.34,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
24/01/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,65.77,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
25/01/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,73.36,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
26/01/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,82.17,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
27/01/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,83.27,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
28/01/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,58.83,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
29/01/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,55.98,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
30/01/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,65.67,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
31/01/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,112.6,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
01/02/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,69.14,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
02/02/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,47.16,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
03/02/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,44.9,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
04/02/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,56.65,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
14/02/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,61.6,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
17/02/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,57.1,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
20/02/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,47.02,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
23/02/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,80.3,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
26/02/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,28.67,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
01/03/2017 12:00:00 a. m.,CVC,Cali-Cascajal,Manual,3.318936,-76.519142,76,VALLE DEL CAUCA,76001,CALI,Fija,24,PM10,µg/m3,38.98,"{'latitude': '3.318936', 'longitude': '-76.519142'}"
