fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
03/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,40.42,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
05/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,36.75,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
10/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,39.31,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
13/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,47.62,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
17/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,43.77,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
19/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,54.76,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
22/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,49.48,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
24/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,33.14,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
26/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,36.52,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
29/03/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,29.61,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
